sector,trading_date,open,high,low,close,volume,year,month,date
Services & Real Estate,2020-01-22,32.38,32.78,31.7,32.18,174689.25,2020,01,22
Services & Real Estate,2020-01-23,32.5,34.6,32.25,34.18,683924.5,2020,01,23
Services & Real Estate,2020-01-26,33.98,34.55,33.3,33.75,804425.25,2020,01,26
Services & Real Estate,2020-01-27,33.85,34.05,32.3,32.73,687075.75,2020,01,27
Services & Real Estate,2020-01-28,33.08,34.38,32.58,34.08,783872.75,2020,01,28
Services & Real Estate,2020-01-29,34.03,34.4,33.33,33.63,373272.75,2020,01,29
Services & Real Estate,2020-01-30,33.5,34.03,32.95,33.58,750988.25,2020,01,30
Telecommunication,2020-01-01,187.35,190.95,185.95,187.05,202233.5,2020,01,01
Telecommunication,2020-01-02,187.65,192.0,186.85,187.85,223425.5,2020,01,02
Telecommunication,2020-01-05,188.25,189.25,186.15,186.7,116767.0,2020,01,05
Telecommunication,2020-01-06,188.4,188.8,179.35,181.6,196541.0,2020,01,06
Telecommunication,2020-01-07,182.4,183.9,179.35,180.05,119341.5,2020,01,07
Telecommunication,2020-01-08,181.55,182.15,170.65,173.1,180610.5,2020,01,08
Telecommunication,2020-01-09,170.35,174.7,167.1,167.6,279983.5,2020,01,09
Telecommunication,2020-01-12,167.85,171.1,167.85,169.8,123409.5,2020,01,12
Telecommunication,2020-01-13,170.0,170.1,161.6,162.55,213466.0,2020,01,13
Telecommunication,2020-01-14,162.1,162.75,155.7,158.0,196912.0,2020,01,14
Telecommunication,2020-01-15,159.05,163.0,154.1,155.8,153842.5,2020,01,15
Telecommunication,2020-01-16,155.4,165.25,154.0,161.25,319834.5,2020,01,16
Telecommunication,2020-01-19,162.85,175.15,162.85,174.95,363946.0,2020,01,19
Telecommunication,2020-01-20,176.1,190.7,175.6,186.9,917819.5,2020,01,20
Telecommunication,2020-01-21,187.55,187.85,178.1,182.9,597862.0,2020,01,21
Telecommunication,2020-01-22,183.4,188.85,179.3,183.7,460837.0,2020,01,22
Telecommunication,2020-01-23,185.15,190.15,181.9,188.65,763465.5,2020,01,23
Telecommunication,2020-01-26,189.7,192.9,183.2,185.7,622992.5,2020,01,26
Telecommunication,2020-01-27,189.0,194.45,186.75,189.35,691201.5,2020,01,27
Telecommunication,2020-01-28,190.2,190.4,182.1,185.6,707403.5,2020,01,28
Telecommunication,2020-01-29,188.0,188.65,181.5,182.95,590335.0,2020,01,29
Telecommunication,2020-01-30,183.85,184.2,179.05,180.2,445738.0,2020,01,30
Engineering,2020-07-02,113.39,113.46,113.39,113.4,17498.23,2020,07,02
Engineering,2020-07-05,106.13,106.16,106.13,106.13,4239.64,2020,07,05
Engineering,2020-07-06,81.34,81.34,81.34,81.34,7556.52,2020,07,06
Engineering,2020-07-07,98.95,98.95,98.95,98.95,9175.12,2020,07,07
Engineering,2020-07-08,95.14,95.21,95.14,95.2,26117.92,2020,07,08
Engineering,2020-07-09,72.18,72.87,72.18,72.32,146916.32,2020,07,09
Engineering,2020-07-12,93.69,95.1,93.54,94.51,173579.03,2020,07,12
Engineering,2020-07-13,94.61,95.48,93.73,93.95,366057.67,2020,07,13
Engineering,2020-07-14,72.82,73.27,72.4,72.53,119231.45,2020,07,14
Engineering,2020-07-15,100.11,100.28,99.83,100.08,82582.94,2020,07,15
Engineering,2020-07-16,102.78,102.83,102.45,102.55,56813.54,2020,07,16
Engineering,2020-07-19,95.45,95.55,95.24,95.28,66978.43,2020,07,19
Engineering,2020-07-20,95.69,95.95,95.68,95.83,56672.32,2020,07,20
Engineering,2020-07-21,96.21,96.65,95.78,96.07,66292.34,2020,07,21
Engineering,2020-07-22,100.63,101.06,100.23,100.45,152437.06,2020,07,22
Engineering,2020-07-23,95.39,96.09,95.27,95.72,136666.38,2020,07,23
Engineering,2020-07-26,94.41,95.07,94.05,94.37,114139.1,2020,07,26
Engineering,2020-07-27,94.36,95.25,93.99,94.24,116649.13,2020,07,27
Engineering,2020-07-28,94.33,94.79,94.02,94.35,120357.26,2020,07,28
Engineering,2020-07-29,94.52,96.61,94.05,95.28,116453.64,2020,07,29
Engineering,2020-07-30,95.29,97.8,95.03,97.18,419603.38,2020,07,30
Fuel & Power,2020-07-02,181.34,182.45,180.64,181.11,61734.16,2020,07,02
Fuel & Power,2020-07-05,187.37,188.72,186.19,186.38,43069.94,2020,07,05
Fuel & Power,2020-07-06,188.79,189.82,186.68,188.63,62051.67,2020,07,06
Fuel & Power,2020-07-07,179.66,181.33,177.95,178.44,57419.16,2020,07,07
Fuel & Power,2020-07-08,182.02,183.03,180.94,182.09,206706.56,2020,07,08
Fuel & Power,2020-07-09,178.44,182.47,178.14,181.11,215333.32,2020,07,09
Fuel & Power,2020-07-12,181.95,183.77,179.44,181.31,215522.32,2020,07,12
Fuel & Power,2020-07-13,180.93,182.41,178.98,179.91,380343.53,2020,07,13
Fuel & Power,2020-07-14,179.64,181.01,177.58,178.41,333231.89,2020,07,14
Fuel & Power,2020-07-15,178.44,179.51,176.76,177.54,166387.0,2020,07,15
Fuel & Power,2020-07-16,177.93,178.38,176.28,176.78,124718.05,2020,07,16
Fuel & Power,2020-07-19,176.64,177.37,175.11,175.99,79075.16,2020,07,19
Fuel & Power,2020-07-20,175.59,177.38,175.09,176.2,113356.26,2020,07,20
Fuel & Power,2020-07-21,177.13,178.87,175.4,177.81,135941.32,2020,07,21
Fuel & Power,2020-07-22,178.15,179.78,176.87,178.37,98219.89,2020,07,22
Fuel & Power,2020-07-23,178.77,179.62,176.46,177.22,234202.37,2020,07,23
Fuel & Power,2020-07-26,177.83,180.72,176.63,179.64,262800.16,2020,07,26
Fuel & Power,2020-07-27,179.81,181.44,178.99,180.54,550825.89,2020,07,27
Fuel & Power,2020-07-28,180.95,182.15,179.0,180.52,601452.58,2020,07,28
Fuel & Power,2020-07-29,181.59,182.27,178.77,179.9,327583.42,2020,07,29
Fuel & Power,2020-07-30,178.84,180.73,177.56,178.59,377152.63,2020,07,30
IT Sector,2020-07-02,29.59,29.59,29.59,29.59,7879.57,2020,07,02
