source_sheet,sector,trading_date,open,high,low,close,volume
DSE-2013,IFILISLMF1,2013-06-17,6.1,6.3,6.0,6.2,1462000
DSE-2013,IFILISLMF1,2013-06-18,6.1,6.7,6.1,6.6,2583000
DSE-2013,IFILISLMF1,2013-06-19,6.7,7.0,6.6,6.7,1732500
DSE-2013,IFILISLMF1,2013-06-20,6.8,6.9,6.4,6.4,964000
DSE-2013,IFILISLMF1,2013-06-23,6.3,6.5,6.0,6.0,633000
DSE-2013,IFILISLMF1,2013-06-24,6.5,6.5,5.9,6.0,559500
DSE-2013,IFILISLMF1,2013-06-26,6.2,6.3,6.1,6.1,654500
DSE-2013,IFILISLMF1,2013-06-27,6.1,6.2,5.9,6.0,654500
DSE-2013,IFILISLMF1,2013-06-30,6.0,6.1,5.8,5.8,691000
DSE-2013,IFILISLMF1,2013-02-07,6.0,6.3,5.9,6.2,461500
DSE-2013,IFILISLMF1,2013-03-07,6.2,6.3,6.0,6.0,703500
DSE-2013,IFILISLMF1,2013-04-07,6.0,6.2,5.9,6.0,857000
DSE-2013,IFILISLMF1,2013-07-07,6.2,6.3,6.1,6.1,653000
DSE-2013,IFILISLMF1,2013-08-07,6.3,6.3,6.0,6.0,565500
DSE-2013,IFILISLMF1,2013-09-07,6.0,6.1,5.9,5.9,1303500
DSE-2013,IFILISLMF1,2013-10-07,6.0,6.3,5.8,6.0,1234500
DSE-2013,IFILISLMF1,2013-11-07,6.1,6.2,5.8,5.8,1076500
DSE-2013,IFILISLMF1,2013-07-14,6.0,6.0,5.7,5.7,510500
DSE-2013,IFILISLMF1,2013-07-15,5.7,5.8,5.3,5.5,630000
DSE-2013,IFILISLMF1,2013-07-16,5.7,5.9,5.7,5.8,350500
DSE-2013,IFILISLMF1,2013-07-17,5.8,5.8,5.4,5.4,567000
DSE-2013,IFILISLMF1,2013-07-18,5.4,5.7,5.4,5.5,395500
DSE-2013,IFILISLMF1,2013-07-21,5.6,5.6,5.4,5.4,315000
DSE-2013,IFILISLMF1,2013-07-22,5.5,5.7,5.5,5.5,192000
DSE-2013,IFILISLMF1,2013-07-23,5.6,5.6,5.4,5.4,262500
DSE-2013,IFILISLMF1,2013-07-24,5.3,5.9,5.3,5.9,1645000
DSE-2013,IFILISLMF1,2013-07-25,6.4,6.4,5.6,5.7,1984500
DSE-2013,IFILISLMF1,2013-07-28,5.8,5.8,5.6,5.6,216500
DSE-2013,IFILISLMF1,2013-07-29,5.7,5.7,5.4,5.4,461000
DSE-2013,IFILISLMF1,2013-07-30,5.5,5.5,5.3,5.3,305000
DSE-2013,IFILISLMF1,2013-07-31,5.3,5.4,5.2,5.3,303500
DSE-2013,IFILISLMF1,2013-01-08,5.3,5.4,5.2,5.3,287000
DSE-2013,IFILISLMF1,2013-04-08,5.2,5.2,5.1,5.1,188500
DSE-2013,IFILISLMF1,2013-05-08,5.2,5.4,5.2,5.2,163000
DSE-2013,IFILISLMF1,2013-12-08,4.9,5.0,4.8,4.9,515500
DSE-2013,IFILISLMF1,2013-08-13,4.9,5.0,4.9,4.9,361000
DSE-2013,IFILISLMF1,2013-08-14,5.0,5.0,4.9,4.9,191000
DSE-2013,IFILISLMF1,2013-08-18,4.9,5.1,4.8,4.9,346000
DSE-2013,IFILISLMF1,2013-08-19,5.0,5.1,4.9,5.0,137000
DSE-2013,IFILISLMF1,2013-08-20,5.0,5.1,4.9,4.9,492500
DSE-2013,IFILISLMF1,2013-08-21,5.0,5.0,4.9,4.9,297000
